name,fonction_1,fonction_2,fonction_3,fonction_4,fonction_5,fonction_6,fonction_7,fonction_8,fonction_9,fonction_10,fonction_11,nom_simplifie
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,Agent parfumant,,,,,,,,,,,molécule parfumante
1-METHYL-4-METHYLVINYL-CYCLOHEXENE,Agent parfumant,,,,,,,,,,,molécule parfumante
1-METHYLHYDANTOIN-2-IMIDE,Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
1-NAPHTHOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1,10-DECANEDIOL",Solvant,,,,,,,,,,,décanediol
"1,2-BUTANEDIOL",Humectant,Agent d'entretien de la peau,Solvant,Agent de contrôle de la viscosité,,,,,,,,butanediol
"1,2-DIHYDROLINALOOL",Agent parfumant,,,,,,,,,,,molécule parfumante
"1,2-HEXANEDIOL",Agent d'entretien de la peau,Solvant,,,,,,,,,,hexanediol
"1,2,4-TRIHYDROXYBENZENE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1,4-BENZENEDICARBOXYLIC ACID,1,4-DIMETHYL ESTER,POLYMER:1",,,,,,,,,,,,polymère cosmétique
"1,4-BUTANEDIOL",Solvant,,,,,,,,,,,solvant
"1,5-NAPHTHALENEDIOL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"1,5-PENTANEDIOL",Solvant,,,,,,,,,,,solvant
"1,6-HEXAMETHYLENE DIISOCYANATE",Non classé,,,,,,,,,,,ingrédient cosmétique
"1,6-HEXANEDIAMINE",Régulateur de pH,,,,,,,,,,,ingrédient cosmétique
10-HYDROXYDECANOIC ACID,Agent d'entretien de la peau,,,,,,,,,,,acide aminé
10-HYDROXYDECENOIC ACID,Agent d'entretien de la peau,,,,,,,,,,,acide aminé
10-HYDROXYSTEARIC ACID,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,,acide stéarique
2-(2-AMINOETHOXY)ETHANOL,Agent de fixation capillaire,,,,,,,,,,,ingrédient cosmétique
2-ACETONAPHTHONE,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
2-ACETYLHYDROQUINONE,Antioxydant,Agent éclaircissant,Agent d'entretien de la peau,,,,,,,,,antioxydant
2-AMINO-3-HYDROXYPYRIDINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINO-3-NITROPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINO-5-ETHYLPHENOL HCL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINO-6-CHLORO-4-NITROPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-AMINOBUTANOL,Régulateur de pH,,,,,,,,,,,ingrédient cosmétique
2-BENZYLHEPTANOL,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
"2-BROMO-2-NITROPROPANE-1,3-DIOL",Conservateur,,,,,,,,,,,conservateur
2-CHLORO-5-NITRO-N-HYDROXYETHYL-P-PHENYLENEDIAMINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-CHLORO-P-PHENYLENEDIAMINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-ETHYLHEXANOL,Non classé,,,,,,,,,,,ingrédient cosmétique
2-ETHYLHEXYL GLUCOSIDE,,,,,,,,,,,,agent lavant
2-ETHYLHEXYLAL,Solvant,,,,,,,,,,,solvant
2-HEXANOL,Agent parfumant,,,,,,,,,,,molécule parfumante
2-HYDROXYETHYL ACRYLATE,Agent filmogène,,,,,,,,,,,polymère cosmétique
2-HYDROXYETHYL PICRAMIC ACID,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-HYDROXYETHYLAMINO-5-NITROANISOLE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-ISOPROPOXYETHYL SALICYLATE,,,,,,,,,,,,ingrédient cosmétique
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-METHYL 5-CYCLOHEXYLPENTANOL,Déodorant,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,ingrédient cosmétique
2-METHYL-1-NAPHTHOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-METHYLPENT-2-ENOIC ACID,Agent parfumant,,,,,,,,,,,acide cosmétique
2-METHYLPROPANAL,Agent d'entretien des ongles,Agent parfumant,,,,,,,,,,molécule parfumante
2-METHYLPROPANOL,Agent parfumant,,,,,,,,,,,molécule parfumante
2-METHYLRESORCINOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-METHYLUNDECANOL,Agent parfumant,,,,,,,,,,,molécule parfumante
2-NAPHTHOL,Agent colorant pour cheveux,Agent parfumant,,,,,,,,,,colorant capillaire
2-NITRO-5-GLYCERYL METHYLANILINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-NITRO-P-PHENYLENEDIAMINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-NITRO-P-PHENYLENEDIAMINE SULFATE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
2-O-ETHYL ASCORBIC ACID,Agent d'entretien de la peau,,,,,,,,,,,vitamine c
"2-OLEAMIDO-1,3-OCTADECANEDIOL",Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
"2-OLEAMIDO-1,3,4-OCTADECATRIYL PROLINATE",Antipelliculaire,Anti-séborrhée,Conditionneur capillaire,Agent d'entretien de la peau,,,,,,,,ingrédient cosmétique
"2-PROPYLHEPTANOL ETHOXYLATED, PROPOXYLATED",,,,,,,,,,,,ingrédient cosmétique
2-SEC-BUTYLCYCLOHEXANONE,Agent parfumant,,,,,,,,,,,molécule parfumante
2-T-BUTYLCYCLOHEXYL ACETATE,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
2-TERT-BUTYLHYDROQUINONE METHYL ETHER,Agent parfumant,,,,,,,,,,,molécule parfumante
"2,2'-IMINODIETHANOL",,,,,,,,,,,,ingrédient cosmétique
"2,2'-METHYLENEBIS 4-AMINOPHENOL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,3-BUTANEDIOL",Humectant,Agent masquant,Agent d'entretien de la peau,Solvant,,,,,,,,humectant
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,4-DIAMINOPHENOXYETHANOL HCL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,4-DIAMINOPHENOXYETHANOL SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",Agent masquant,Tonifiant,Agent parfumant,,,,,,,,,molécule parfumante
"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL",Agent parfumant,,,,,,,,,,,molécule parfumante
"2,5-DIHYDROXYBENZOIC ACID",Agent d'entretien de la peau,,,,,,,,,,,acide benzoïque
"2,5-DIMETHYLPYRAZINE",Agent parfumant,,,,,,,,,,,molécule parfumante
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIAMINOPYRIDINE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIAMINOPYRIDINE SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DICARBOXYPYRIDINE",Agent de chélation,,,,,,,,,,,ingrédient cosmétique
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIHYDROXYETHYLAMINOTOLUENE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"2,6-DIMETHYL-7-OCTEN-2-OL",Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
"2,6-DIMETHYLHEPTANOL",Agent parfumant,,,,,,,,,,,molécule parfumante
"2,7-NAPHTHALENEDIOL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
3-(P-CUMENYL)-2-METHYLPROPIONALDEHYDE,Agent parfumant,,,,,,,,,,,molécule parfumante
"3-AMINO-2,4-DICHLOROPHENOL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
"3-AMINO-2,4-DICHLOROPHENOL HCL",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
3-AMINOPROPANE SULFONIC ACID,Hydrotrope,Tensioactif,,,,,,,,,,acide cosmétique
3-ASCORBYL CARBONYL DIPEPTIDE-17,Agent d'entretien de la peau,,,,,,,,,,,vitamine c
3-BENZYLIDENE CAMPHOR,Absorbant UV,,,,,,,,,,,absorbant
3-CARENE,Agent parfumant,,,,,,,,,,,molécule parfumante
3-ETHYLAMINO-P-CRESOL SULFATE,Conditionneur capillaire,,,,,,,,,,,agent lavant
3-GLYCERYL ASCORBATE,Antioxydant,Humectant,,,,,,,,,,vitamine c
3-HEPTENYL ISOBUTYRATE,Agent parfumant,,,,,,,,,,,molécule parfumante
3-HEXENAL,Agent parfumant,,,,,,,,,,,molécule parfumante
3-HEXENOL,Agent masquant,Agent d'entretien de la peau,Agent parfumant,,,,,,,,,molécule parfumante
3-HEXENYL ACETATE,Agent parfumant,,,,,,,,,,,molécule parfumante
3-HYDROXYBENZOIC ACID,Agent d'entretien de la peau,,,,,,,,,,,acide benzoïque
3-HYDROXYBUTYRATE/4-HYDROXYBUTYRATE COPOLYMER,Agent Abrasif,Agent de contrôle de la viscosité,,,,,,,,,,polymère cosmétique
3-LAURYLGLYCERYL ASCORBATE,Antioxydant,Humectant,Agent d'entretien de la peau,,,,,,,,,vitamine c
3-METHOXYBUTANOL,Solvant,,,,,,,,,,,solvant
"3-METHYL-4-(2,4,6-TRIMETHYL-3-CYCLOHEXENYL)-3-BUTEN-2-ONE",Agent parfumant,,,,,,,,,,,molécule parfumante
"3-METHYL-5-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)PENT-4-EN-2-OL",Agent parfumant,,,,,,,,,,,molécule parfumante
3-METHYLAMINO-4-NITROPHENOXYETHANOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
3-O-CETYL ASCORBIC ACID,Agent d'entretien de la peau,,,,,,,,,,,vitamine c
3-O-ETHYL ASCORBIC ACID,Agent d'entretien de la peau,,,,,,,,,,,vitamine c
3-OCTANOL,Agent parfumant,,,,,,,,,,,molécule parfumante
3-P-CUMENYL PROPIONALDEHYDE,Agent parfumant,,,,,,,,,,,molécule parfumante
3-TERT-BUTYLCYCLOHEXYL ACETATE,Agent parfumant,,,,,,,,,,,molécule parfumante
"3,3,5-TRIMETHYLCYCLOHEXYL SUCCINATE DIMETHYLAMIDE",Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
"3,4-DIHYDROXYBENZOIC ACID",Agent de protection de la peau,,,,,,,,,,,acide benzoïque
"3,7-DIMETHYL-3,6-OCTADIENAL",Agent parfumant,,,,,,,,,,,molécule parfumante
"3,7-DIMETHYL-4,6-OCTADIEN-3-OL",Agent parfumant,,,,,,,,,,,molécule parfumante
4-AMINO-2-HYDROXYTOLUENE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-AMINO-2-HYDROXYTOLUENE SULFATE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-AMINO-3-NITROPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-AMINO-M-CRESOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-BUTYLRESORCINOL,Antioxydant,,,,,,,,,,,antioxydant
4-CHLORORESORCINOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-DIMETHYLMETHYLENECYCLOHEXYL-BUTAN-2-ONE,Agent parfumant,,,,,,,,,,,molécule parfumante
4-ETHYLGUAIACOL,Agent parfumant,,,,,,,,,,,molécule parfumante
4-FORMYLPHENYLBORONIC ACID,,,,,,,,,,,,acide cosmétique
4-HYDROXYBENZOIC ACID,Agent masquant,Conservateur,,,,,,,,,,acide benzoïque
4-HYDROXYBUTYL ACRYLATE,Agent fixant,,,,,,,,,,,polymère cosmétique
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-METHYL-3-DECEN-5-OL,Agent parfumant,,,,,,,,,,,molécule parfumante
"4-METHYLBENZYL 4,5-DIAMINO PYRAZOLE SULFATE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-METHYLBENZYLIDENE CAMPHOR,Agent stabilisant,Absorbant UV,Filtre UV,,,,,,,,,absorbant
4-NITRO-O-PHENYLENEDIAMINE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
4-PCA DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,Agent filmogène,Conditionneur capillaire,Agent de protection de la peau,Agent de contrôle de la viscosité,,,,,,,,silicone
4-T-BUTYLCYCLOHEXANOL,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
4-TERPINEOL,Agent masquant,,,,,,,,,,,ingrédient cosmétique
4-TERT-BUTYLCYCLOHEXYL ACETATE,Agent parfumant,,,,,,,,,,,molécule parfumante
4-TERT-BUTYLDIHYDROCINNAMALDEHYDE,Agent parfumant,,,,,,,,,,,molécule parfumante
"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",Agent filmogène,,,,,,,,,,,polymère cosmétique
"4,8-DIMETHYL-4,9-DECADIENAL",Agent parfumant,,,,,,,,,,,molécule parfumante
"5-AMINO-2,6-DIMETHOXY-3-HYDROXYPYRIDINE",Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
5-AMINO-4-CHLORO-O-CRESOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
5-AMINO-6-CHLORO-O-CRESOL,Antimicrobien,Agent colorant pour cheveux,,,,,,,,,,colorant capillaire
"5-BROMO-5-NITRO-1,3-DIOXANE",Conservateur,,,,,,,,,,,conservateur
5-ETHYL-4-HYDROXY-2-METHYLFURAN-3(2H)-ONE,Agent parfumant,,,,,,,,,,,molécule parfumante
5-METHYL-ALPHA-IONONE,Agent parfumant,,,,,,,,,,,molécule parfumante
"5,5,6-TRIMETHYLBICYCLOHEPT-2-YLCYCLOHEXANOL",Agent parfumant,,,,,,,,,,,molécule parfumante
6-AMINO-M-CRESOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
6-AMINO-O-CRESOL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
6-HYDROXYINDOLE,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,Agent colorant pour cheveux,,,,,,,,,,,colorant capillaire
6-METHYL COUMARIN,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
7-DEHYDROCHOLESTEROL,Stabilisateur d'émulsion,Agent d'entretien de la peau,Agent de contrôle de la viscosité,,,,,,,,,ester cosmétique
A-TERPINYL ACETATE,Agent parfumant,,,,,,,,,,,molécule parfumante
ABALONE EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ABALONE SHELL POWDER,Agent fixant,Agent de foisonnement,Opacifiant,Agent de protection de la peau,,,,,,,,poudre végétale
ABELIOPHYLLUM DISTICHUM EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ABELMOSCHUS ESCULENTUS FRUIT EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ABIES ALBA CONE EXTRACT,Agent parfumant,,,,,,,,,,,extrait de saule blanc
ABIES ALBA CONE OIL,Agent parfumant,,,,,,,,,,,huile de saule blanc
ABIES ALBA EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait de saule blanc
ABIES ALBA LEAF CERA,Agent d'entretien de la peau,Agent de protection de la peau,Agent parfumant,,,,,,,,,cire
ABIES ALBA LEAF OIL,Agent masquant,Tonifiant,Agent parfumant,,,,,,,,,huile de saule blanc
ABIES ALBA LEAF WAX,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,,cire
ABIES ALBA NEEDLE EXTRACT,Agent parfumant,,,,,,,,,,,extrait de saule blanc
ABIES ALBA NEEDLE OIL,Agent parfumant,,,,,,,,,,,huile de saule blanc
ABIES ALBA SEED EXTRACT,Antimicrobien,Antioxydant,Agent éclaircissant,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,extrait de saule blanc
ABIES ALBA SEED OIL,Antimicrobien,Antioxydant,Agent d'entretien de la peau,,,,,,,,,huile de saule blanc
ABIES ALBA WOOD EXTRACT,Antioxydant,,,,,,,,,,,extrait de saule blanc
ABIES BALSAMEA BALSAM EXTRACT,Agent parfumant,,,,,,,,,,,extrait de sapin
ABIES BALSAMEA EXTRACT,Agent filmogène,Conditionneur capillaire,Agent parfumant,,,,,,,,,extrait de sapin
ABIES BALSAMEA NEEDLE OIL,Agent masquant,Agent parfumant,,,,,,,,,,huile de sapin
ABIES BALSAMEA RESIN,Agent filmogène,Agent masquant,,,,,,,,,,agent filmogène
ABIES CONCOLOR BRANCH/LEAF/WOOD OIL,Agent masquant,,,,,,,,,,,huile de sapin
ABIES KOREANA LEAF EXTRACT,Conditionneur capillaire,Agent bouclant ou lissant (coiffant),Agent d'entretien de la peau,,,,,,,,,extrait de sapin
ABIES PECTINATA EXTRACT,Déodorant,Tonifiant,,,,,,,,,,extrait de sapin
ABIES PECTINATA LEAF EXTRACT,Déodorant,Tonifiant,,,,,,,,,,extrait de sapin
ABIES PECTINATA OIL,Agent masquant,Tonifiant,,,,,,,,,,huile de sapin
ABIES SACHALINENSIS LEAF EXTRACT,Humectant,Agent d'entretien de la peau,,,,,,,,,,extrait de sapin
ABIES SIBIRICA NEEDLE EXTRACT,Agent parfumant,,,,,,,,,,,extrait de sapin
ABIES SIBIRICA NEEDLE OIL,Agent parfumant,,,,,,,,,,,huile de sapin
ABIES SIBIRICA OIL,Agent masquant,Tonifiant,Agent parfumant,,,,,,,,,huile de sapin
ABRONIA VILLOSA LEAF EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ABRUS PRECATORIUS ROOT EXTRACT,Conditionneur capillaire,,,,,,,,,,,extrait végétal
ACACIA ARABICA BARK POWDER,Agent d'entretien de la peau,,,,,,,,,,,poudre d’acacia
ACACIA ARABICA STEM BARK EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA CATECHU BARK EXTRACT,,,,,,,,,,,,extrait d’acacia
ACACIA CATECHU BARK POWDER,Agent d'entretien de la peau,,,,,,,,,,,poudre d’acacia
ACACIA CATECHU CATECHINS,Antioxydant,,,,,,,,,,,antioxydant
ACACIA CATECHU GUM,Agent filmogène,Agent masquant,,,,,,,,,,agent filmogène
ACACIA CATECHU LEAF/WOOD POWDER,Agent d'entretien de la peau,,,,,,,,,,,poudre d’acacia
ACACIA CATECHU SEED EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA CATECHU SEED POWDER,Agent d'entretien de la peau,,,,,,,,,,,poudre d’acacia
ACACIA CATECHU WOOD EXTRACT,Antioxydant,,,,,,,,,,,extrait d’acacia
ACACIA CONCINNA FRUIT EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA CONCINNA FRUIT POWDER,Conditionneur capillaire,,,,,,,,,,,poudre d’acacia
ACACIA CONCINNA POD EXTRACT,,,,,,,,,,,,extrait d’acacia
ACACIA DEALBATA FLOWER CERA,Emollient,Agent d'entretien de la peau,,,,,,,,,,cire
ACACIA DEALBATA FLOWER EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA DEALBATA LEAF EXTRACT,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,,extrait d’acacia
ACACIA DEALBATA SEED EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA DECURRENS DEALBATA FLOWER EXTRACT,,,,,,,,,,,,extrait d’acacia
ACACIA DECURRENS EXTRACT,Astringent,Agent d'entretien de la peau,Tonifiant,,,,,,,,,extrait d’acacia
ACACIA DECURRENS FLOWER CERA,Emollient,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,cire
ACACIA DECURRENS FLOWER EXTRACT,Agent masquant,Agent parfumant,,,,,,,,,,extrait d’acacia
ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,,,,,,,,,,,,cire
ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,Emollient,Agent d'entretien de la peau,,,,,,,,,,cire
ACACIA FARNESIANA EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA FARNESIANA FLOWER CERA,Agent de protection de la peau,,,,,,,,,,,cire
ACACIA FARNESIANA FLOWER EXTRACT,Agent parfumant,,,,,,,,,,,extrait d’acacia
ACACIA FARNESIANA FLOWER WAX,Agent arômatisant,,,,,,,,,,,cire
ACACIA FARNESIANA FLOWER/STEM EXTRACT,Astringent,Agent de contrôle de la viscosité,,,,,,,,,,extrait d’acacia
ACACIA FARNESIANA GUM,Astringent,Agent filmogène,Agent de contrôle de la viscosité,,,,,,,,,épaississant
ACACIA MEARNSII BARK EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA SALIGNA LEAF EXTRACT,Astringent,Agent d'entretien de la peau,,,,,,,,,,extrait d’acacia
ACACIA SENEGAL FLOWER/STEM EXTRACT,Agent de contrôle de la viscosité,,,,,,,,,,,extrait d’acacia
ACACIA SENEGAL GUM,Agent filmogène,Agent masquant,,,,,,,,,,agent filmogène
ACACIA SENEGAL GUM EXTRACT,Agent de contrôle de la viscosité,,,,,,,,,,,extrait d’acacia
ACACIA SEYAL GUM,Humectant,,,,,,,,,,,humectant
ACACIA SEYAL GUM EXTRACT,Humectant,,,,,,,,,,,extrait d’acacia
ACACIA VICTORIAE FRUIT EXTRACT,Antioxydant,Conditionneur capillaire,Agent d'entretien de la peau,,,,,,,,,extrait d’acacia
ACACIA VICTORIAE SEED EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait d’acacia
ACACIA VICTORIAE SEED OIL,Antioxydant,Humectant,Agent d'entretien de la peau,,,,,,,,,huile d’acacia
ACANTHOPANAX KOREANUM ADVENTITIOUS ROOT CULTURE EXTRACT,Antioxydant,Conditionneur capillaire,Humectant,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,extrait végétal
ACANTHOPANAX KOREANUM EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACANTHOPANAX SENTICOSUS EXTRACT,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,,extrait végétal
ACANTHOPANAX SENTICOSUS ROOT,Humectant,,,,,,,,,,,humectant
ACANTHOPANAX SENTICOSUS ROOT EXTRACT,Agent d'entretien de la peau,Agent apaisant,,,,,,,,,,extrait végétal
ACANTHOPANAX SESSILIFLORUS BARK EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACANTHOPANAX SESSILIFLORUS ROOT EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACANTHOSICYOS HORRIDUS SEED OIL,Agent d'entretien de la peau,Agent de protection de la peau,,,,,,,,,,huile végétale
ACANTHUS MOLLIS LEAF EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACCA SELLOWIANA FRUIT EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACEFYLLINE METHYLSILANOL MANNURONATE,Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
ACER MONO SAP,Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
ACER NIKOENSE BARK EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACER PALMATUM LEAF EXTRACT,Antioxydant,,,,,,,,,,,extrait végétal
ACER RUBRUM BARK EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACER RUBRUM EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACER SACCHARUM (SUGAR MAPLE) SAP EXTRACT,,,,,,,,,,,,extrait végétal
ACER SACCHARUM EXTRACT,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
ACER SACCHARUM SAP,Humectant,Agent d'entretien de la peau,,,,,,,,,,humectant
ACER SACCHARUM SAP EXTRACT,Humectant,Agent d'entretien de la peau,,,,,,,,,,extrait végétal
ACETALDEHYDE,Agent masquant,,,,,,,,,,,ingrédient cosmétique
ACETAMIDE MEA,Sinergiste de mousse,Conditionneur capillaire,Humectant,Agent d'entretien de la peau,Tensioactif,Agent de contrôle de la viscosité,,,,,,agent lavant
ACETAMIDOCAPROIC ACID,Antioxydant,,,,,,,,,,,acide cosmétique
ACETAMIDOETHOXYETHANOL,Humectant,,,,,,,,,,,humectant
ACETAMIDOETHYL PG-TRIMONIUM CHLORIDE,Antistatique,Conditionneur capillaire,,,,,,,,,,ingrédient cosmétique
ACETAMIDOPROPYL TRIMONIUM CHLORIDE,Antistatique,,,,,,,,,,,ingrédient cosmétique
ACETAMINOPHEN,Agent d'entretien de la peau,,,,,,,,,,,ingrédient cosmétique
ACETANILID,Agent masquant,Agent parfumant,,,,,,,,,,molécule parfumante
ACETIC ACID,Régulateur de pH,Agent masquant,,,,,,,,,,acide cosmétique
ACETOACETOXYETHOXY METHACRYLATE,Agent filmogène,,,,,,,,,,,polymère cosmétique
ACETOBACTER/LACTOBACILLUS/(CITRUS JUNOS/PRUNUS MUME/PUNICA GRANATUM) FRUIT/RICE FERMENT FILTRATE,Emollient,Agent d'entretien de la peau,,,,,,,,,,agrume
ACETOBACTER/SACCHAROMYCES/RASPBERRY FRUIT EXTRACT/PUNICA GRANATUM FRUIT EXTRACT/WINE FERMENT FILTRATE,Agent d'entretien de la peau,,,,,,,,,,,extrait végétal
